PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
5e967287118edf0fd9824bc2,BuC,BuCQ3,BuCQ3_R_ANzKEz8JAytFBcZ.png,,
612e780e6c97ea0e89274e66,BuC,BuCQ3,BuCQ3_R_At8yObFnJLQmis1.png,,
5e84fe873e0ebd0d3b103df2,BuC,BuCQ3,BuCQ3_R_R2L73Yf0TSvr2yB.png,,
615ef30bdf0762beb8b39c54,BuC,BuCQ3,BuCQ3_R_V3ghYhQJGQ3kaCl.png,,
61251289e008d8834d1cbdb8,BuC,BuCQ3,BuCQ3_R_xtGcb9wwzMVRkzf.png,,
615da9ee365ab7d547b98979,BuC,BuCQ4,BuCQ4_R_115SuwIUREqf0Yy.png,,
5eac66ab9334300f4c37121b,BuC,BuCQ4,BuCQ4_R_125p0k5wFQtWnmC.png,,
5d49d17b3dad1f0001e2aba1,BuC,BuCQ4,BuCQ4_R_1GQf7eWuemqVM4t.png,,
60a53519043904037bac8c91,BuC,BuCQ4,BuCQ4_R_1KjYt3cnk5eUjon.png,,
5a5a59afacc75b00017a4ee0,BuC,BuCQ4,BuCQ4_R_1gvTaKPJaqotQzK.png,,
60475f1790672f23136c2cc4,BuC,BuCQ4,BuCQ4_R_24c2iTFTV6Vstnq.png,,
5edb46d311c02e7bc763c4d2,BuC,BuCQ4,BuCQ4_R_2CHgwbb2ch9ytPK.png,,
5ff265688f62107122f931f2,BuC,BuCQ4,BuCQ4_R_2D5YAMq3VkXpyDp.png,,
60ff5cd9725a43dbd1e92606,BuC,BuCQ4,BuCQ4_R_2bNsTno1yj3hH8l.png,,
5fbfb99036e420313c504a36,BuC,BuCQ4,BuCQ4_R_2f10eiWLe7fmb3e.png,,
61577fbbc195adfb13f6c45f,BuC,BuCQ4,BuCQ4_R_2zkezmGGeaFmBAX.png,,
5ee942381a22491bbb7170f8,BuC,BuCQ4,BuCQ4_R_31ithWUoUPqbdpq.png,,
60920010e7bfd828a698e5dd,BuC,BuCQ4,BuCQ4_R_3EYAhp0tk4bpxVP.png,,
60b3f53a252916ee202539f5,BuC,BuCQ4,BuCQ4_R_3GjoZDkUfL4duh6.png,,
